date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:04	122/122	---M-Z	200	added ('OK')	text/plain	date:Tue,%2005%20Apr%202022%2013:50:29%20GMT	https://wanderers.qodeinteractive.com/robots.txt		(from )
14:51:07	237133/237133	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2013:50:31%20GMT	https://wanderers.qodeinteractive.com/	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/index.html	(from )
14:51:07	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5d45a5e288836-gzip%22	https://wanderers.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-includes/css/dist/block-library/style.min080f.css	(from https://wanderers.qodeinteractive.com/)
14:51:07	5305/5305	---MCZ	200	added ('OK')	text/css	etag:W/%2214b9-5d45a8aae163d-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=6.3.3	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style5c45.css	(from https://wanderers.qodeinteractive.com/)
14:51:07	199345/199345	---MCZ	200	added ('OK')	text/css	etag:W/%22303c8-5d45a8aae1255-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=6.3.3	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style5c45.css	(from https://wanderers.qodeinteractive.com/)
14:51:07	1091/1091	---MCZ	200	added ('OK')	text/css	etag:W/%22563-5d45a8270bb2f-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.2.9	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bardc24.css	(from https://wanderers.qodeinteractive.com/)
14:51:08	2226/2226	---MCZ	200	added ('OK')	text/css	etag:W/%22aab-5d45a81d0e1af-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from https://wanderers.qodeinteractive.com/)
14:51:08	20290/20290	---M-Z	200	added ('OK')	text/css	etag:%224f42-5d45a51ea2d80-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/mkdf-membership/assets/css/membership.min.css?ver=5.8.2	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/mkdf-membership/assets/css/membership.min080f.css	(from https://wanderers.qodeinteractive.com/)
14:51:08	1503/1503	---M-Z	200	added ('OK')	text/css	etag:%225df-56861e43ef180-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/mkdf-membership/assets/css/membership-responsive.min.css?ver=5.8.2	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/mkdf-membership/assets/css/membership-responsive.min080f.css	(from https://wanderers.qodeinteractive.com/)
14:51:08	388802/388802	---M-Z	200	added ('OK')	text/css	etag:%225eec2-5d459e002a1c0-gzip%22	https://wanderers.qodeinteractive.com/wp-content/themes/wanderers/assets/css/modules.min.css?ver=5.8.2	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/themes/wanderers/assets/css/modules.min080f.css	(from https://wanderers.qodeinteractive.com/)
14:51:08	9146/9146	---MC-	200	added ('OK')	application/rss+xml	etag:%22b7d1141e524b3d27d05108db0d69450e%22	https://wanderers.qodeinteractive.com/feed/	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/feed/index.html	(from https://wanderers.qodeinteractive.com/)
14:51:08	67145/67145	---M-Z	200	added ('OK')	text/css	etag:%2210649-5d45a50e6c740-gzip%22	https://wanderers.qodeinteractive.com/wp-content/plugins/mkdf-tours/assets/css/tours.min.css?ver=5.8.2	C:/My%20Web%20Sites/dhia/wanderers.qodeinteractive.com/wp-content/plugins/mkdf-tours/assets/css/tours.min080f.css	(from https://wanderers.qodeinteractive.com/)
